barangay,month,weight,cases_in_window,window_start,window_end,alpha_smooth,scheme,run_id
langub,,0.0013697457409468368,31.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
lapu lapu,,0.006206660388665354,144.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
leon garcia sr,,0.0065919013783066515,153.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
lizada,,0.009845047513055389,229.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
los amigos,,0.005222155637359815,121.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
lubogan,,0.008304083554490197,193.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
lumiad,,0.0006848728704734184,15.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
ma a,,0.03300231144593785,770.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
mabuhay,,0.00042804554404588647,9.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
magsaysay,,0.000727677424878007,16.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
magtuod,,0.00158376851296978,36.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
mahayag,,0.0018405958393973118,42.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
malabog,,0.0017121821761835459,39.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
malagos,,0.004194846331649687,97.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
malamba,,0.0011985275233284821,27.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
manambulan,,0.0011129184145193048,25.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
mandug,,0.007405187911993836,172.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
manuel guianga,,0.0020974231658248436,48.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
mapula,,0.0001712182176183546,3.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
marapangi,,0.0034243643523670917,79.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
marilog,,0.00851810632651314,198.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
matina aplaya,,0.019390463145278657,452.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
matina biao,,0.0008132865336871843,18.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
matina crossing,,0.03548497560140399,828.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
matina pangi,,0.007961647119253488,185.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
megkawayan,,0.00038524098964129786,8.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
mintal,,0.015324030476842736,357.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
mudiang,,0.0008560910880917729,19.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
mulig,,0.0027394914818936736,63.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
new carmen,,0.0006848728704734184,15.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
new valencia,,0.0012413320777330708,28.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
pampanga,,0.010915161373170106,254.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
panacan,,0.024612618782638474,574.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
panalum,,0.00021402277202294323,4.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
pandaitan,,0.00021402277202294323,4.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
pangyan,,0.000727677424878007,16.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
paquibato,,0.0027394914818936736,63.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
paradise embak,,0.0008560910880917729,19.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
rafael castillo,,0.008903347316154438,207.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
riverside,,0.003081927917130383,71.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
salapawan,,0.00025682732642753187,5.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
salaysay,,0.0017121821761835459,39.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
saloy,,0.00025682732642753187,5.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
san antonio,,0.007405187911993836,172.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
san isidro,,0.0010701138601147161,24.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
santo nino,,0.008475301772108552,197.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
sasa,,0.03385840253402962,790.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
sibulan,,0.0016693776217789572,38.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
sirawan,,0.005864223953428645,136.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
sirib,,0.0017977912849927232,41.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
suawan,,0.0019262049482064892,44.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
subasta,,0.0015409639585651914,35.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
sumimao,,0.00012841366321376593,2.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
tacunan,,0.011899666124475645,277.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
tagakpan,,0.0022686413834431983,52.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
tagluno,,0.00029963188083212053,6.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
tagurano,,0.0007704819792825957,17.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
talandang,,0.0006848728704734184,15.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
talomo,,0.053976543104186286,1260.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
talomo river,,0.002910709699512028,67.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
tamayong,,0.0026110778186799076,60.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
tambobong,,0.0012841366321376594,29.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
tamugan,,0.005093741974146049,118.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
tapak,,8.56091088091773e-05,1.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
tawan tawan,,0.0022686413834431983,52.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
tibuloy,,0.0022686413834431983,52.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
tibungco,,0.016522558000171217,385.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
tigatto,,0.016522558000171217,385.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
toril,,0.015666466912079444,365.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
tugbok,,0.0054361784093827584,126.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
tungakalan,,0.0020974231658248436,48.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
ubalde,,0.003253146134748737,75.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
ula,,0.0018834003938019005,43.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
vicente hizon sr,,0.0013269411865422481,30.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
waan,,0.002054618611420255,47.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
wangan,,0.0023542504922523756,54.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
wilfredo aquino,,0.007447992466398425,173.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
wines,,0.0010701138601147161,24.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
