Barangay_key,RMSE,MAE,sMAPE,RMSE_rank,MAE_rank,sMAPE_rank,CompositeScore
barangay 2 a,0.48050427527980977,0.32000729917423837,1.8924469596194484,124.0,122.0,77.0,107.66666666666667
barangay 20 b,0.4809154966085757,0.3841568192240587,1.8905911790533274,122.0,104.0,79.0,101.66666666666667
barangay 21 c,0.7690131520503259,0.6521430020553819,1.5532088927590075,79.0,64.0,125.0,89.33333333333333
barangay 22 c,0.7105709931469766,0.5520302001178694,1.7232559564961425,87.0,80.0,109.0,92.0
barangay 23 c,0.7767316523926433,0.613953132052061,1.5187212050453593,76.0,72.0,129.0,92.33333333333333
barangay 24 c,0.36687496545074727,0.24570696467065703,1.9442099568428193,148.0,142.0,52.0,114.0
barangay 25 c,0.2091302983063974,0.10583505862075038,1.9878717058942434,176.0,177.0,12.0,121.66666666666667
barangay 26 c,0.28201381371820067,0.23709270651757292,1.9599812105303567,164.0,144.0,37.0,115.0
barangay 27 c,0.44377237575917267,0.4258423058761364,1.843025379129688,130.0,97.0,91.0,106.0
barangay 28 c,0.3650349165635858,0.2676673134124895,1.952656865390093,149.0,137.0,44.0,110.0
barangay 29 c,0.18630243298214605,0.14932847861599094,1.9876084751215637,180.0,166.0,13.0,119.66666666666667
barangay 3 a,0.28346572844730056,0.12748280410519633,1.996063174773258,163.0,172.0,3.0,112.66666666666667
barangay 30 c,0.21930484641412368,0.13765175415433956,1.9851146363601484,173.0,171.0,16.0,120.0
barangay 31 d,0.9465984398844537,0.7329202317740692,1.3396025822558173,60.0,57.0,141.0,86.0
barangay 32 d,0.456225948940972,0.4004607221462078,1.9085654283328297,129.0,99.0,72.0,100.0
barangay 33 d,0.46920372218089834,0.29193241965937367,1.9230652261306056,128.0,129.0,59.0,105.33333333333333
barangay 34 d,0.3753975149629404,0.2532530210513381,1.94405548394119,145.0,141.0,53.0,113.0
barangay 35 d,0.20111326322040798,0.15506642672408505,1.9844137154709056,177.0,162.0,17.0,118.66666666666667
barangay 36 d,0.308240647835905,0.11395743964979589,1.9903546582317238,161.0,175.0,8.0,114.66666666666667
barangay 37 d,0.7571010505518537,0.6310797024728362,1.5315755690422104,80.0,69.0,127.0,92.0
barangay 38 d,0.37300889159765527,0.271037462762713,1.9561352288816516,147.0,136.0,41.0,108.0
barangay 39 d,0.500962424687595,0.3843084745613951,1.828742321863012,118.0,103.0,96.0,105.66666666666667
barangay 4 a,0.4853721799715869,0.2572760021155964,1.9603633016704747,121.0,140.0,36.0,99.0
barangay 40 d,0.5286060580736786,0.435987697533803,1.8408892358485585,113.0,95.0,93.0,100.33333333333333
barangay 5 a,1.275866969559676,0.9340767395383444,1.297212152972616,43.0,48.0,144.0,78.33333333333333
barangay 6 a,0.4803471791064245,0.3056305425803062,1.9396212755520112,125.0,124.0,55.0,101.33333333333333
barangay 7 a,0.6713623528558549,0.46839744394060173,1.8186438844312043,93.0,88.0,98.0,93.0
barangay 8 a,0.9902420821063509,0.782558341129806,1.4256199460337544,56.0,53.0,136.0,81.66666666666667
