Barangay_standardized,ds,local_forecast
bago aplaya,2024-10-28,0.7877916794076131
bago aplaya,2024-11-04,0.963906632335879
bago aplaya,2024-11-11,0.9130136395236739
bago aplaya,2024-11-18,0.6832174208625085
bago aplaya,2024-11-25,0.47320462885759484
bago aplaya,2024-12-02,0.4173313796965785
bago aplaya,2024-12-09,0.48991333825780914
bago aplaya,2024-12-16,0.6076781743852163
bago aplaya,2024-12-23,0.7619460317018907
bago aplaya,2024-12-30,0.9988913463953062
bago aplaya,2025-01-06,1.2867848243365625
bago aplaya,2025-01-13,1.4704287488410586
bago aplaya,2025-01-20,1.4063039704412574
bago aplaya,2025-01-27,1.1332342944112377
bago aplaya,2025-02-03,0.8670935472452668
bago aplaya,2025-02-10,0.8039417128942408
bago aplaya,2025-02-17,0.9391204252959205
bago aplaya,2025-02-24,1.0931909503241584
bago aplaya,2025-03-03,1.1037113171300486
bago aplaya,2025-03-10,0.9702846364049221
bago aplaya,2025-03-17,0.816621932426633
bago aplaya,2025-03-24,0.7450145859810031
bago aplaya,2025-03-31,0.7529927232584279
bago aplaya,2025-04-07,0.7755632471472615
bago aplaya,2025-04-14,0.7682062077731043
bago aplaya,2025-04-21,0.732264696988202
bago aplaya,2025-04-28,0.6860165009971654
bago aplaya,2025-05-05,0.6461689119048805
bago aplaya,2025-05-12,0.6371824148538316
bago aplaya,2025-05-19,0.6848361071196187
bago aplaya,2025-05-26,0.7783320123174843
bago aplaya,2025-06-02,0.8570335428448401
bago aplaya,2025-06-09,0.8691867375946398
bago aplaya,2025-06-16,0.8492117575113866
bago aplaya,2025-06-23,0.9056498486308263
bago aplaya,2025-06-30,1.1040352235511959
bago aplaya,2025-07-07,1.3706697233669445
bago aplaya,2025-07-14,1.5445323638115938
bago aplaya,2025-07-21,1.536544959841331
bago aplaya,2025-07-28,1.41556725199844
bago aplaya,2025-08-04,1.3155600464429789
bago aplaya,2025-08-11,1.273793544063508
bago aplaya,2025-08-18,1.2009284309874377
bago aplaya,2025-08-25,1.0238254681654826
bago aplaya,2025-09-01,0.8190041478410919
bago aplaya,2025-09-08,0.7521523630505269
bago aplaya,2025-09-15,0.8772237224302198
bago aplaya,2025-09-22,1.0398599619956552
bago aplaya,2025-09-29,1.0253360549959403
bago aplaya,2025-10-06,0.7994806680380854
bago aplaya,2025-10-13,0.5627773149689793
bago aplaya,2025-10-20,0.5411445101304784
bago aplaya,2025-10-27,0.7413064062601729
bago aplaya,2025-11-03,0.9438797202016487
bago aplaya,2025-11-10,0.9370938238835728
bago aplaya,2025-11-17,0.7262444723170176
bago aplaya,2025-11-24,0.49848385809029444
bago aplaya,2025-12-01,0.41279797588772915
bago aplaya,2025-12-08,0.4691173848381416
bago aplaya,2025-12-15,0.5824353185015003
bago aplaya,2025-12-22,0.7268009690045429
bago aplaya,2025-12-29,0.9474271274572625
bago aplaya,2026-01-05,1.2349113400986924
bago aplaya,2026-01-12,1.4507359347451185
bago aplaya,2026-01-19,1.4345897546171742
bago aplaya,2026-01-26,1.186233946743985
bago aplaya,2026-02-02,0.9007261916294996
bago aplaya,2026-02-09,0.7948180388763415
bago aplaya,2026-02-16,0.9047659211403973
bago aplaya,2026-02-23,1.0706441402881055
bago aplaya,2026-03-02,1.1120949408593812
bago aplaya,2026-03-09,0.997107270059169
bago aplaya,2026-03-16,0.8371004952991249
bago aplaya,2026-03-23,0.7479363170341562
bago aplaya,2026-03-30,0.7458749092534143
bago aplaya,2026-04-06,0.7704931312674996
bago aplaya,2026-04-13,0.7694651793591019
bago aplaya,2026-04-20,0.7373194586595766
bago aplaya,2026-04-27,0.6916861913198546
bago aplaya,2026-05-04,0.6492669348731894
bago aplaya,2026-05-11,0.6325192585634506
bago aplaya,2026-05-18,0.6692676356908073
bago aplaya,2026-05-25,0.7579468450045345
bago aplaya,2026-06-01,0.844554099517344
bago aplaya,2026-06-08,0.8691395352898197
bago aplaya,2026-06-15,0.8479382577985278
bago aplaya,2026-06-22,0.8828361708172848
bago aplaya,2026-06-29,1.0569491577078565
bago aplaya,2026-07-06,1.3225806477952116
bago aplaya,2026-07-13,1.523681753245948
bago aplaya,2026-07-20,1.5474431690502306
bago aplaya,2026-07-27,1.4363817960371241
bago aplaya,2026-08-03,1.3255342749933592
bago aplaya,2026-08-10,1.2774435337072776
bago aplaya,2026-08-17,1.218447414485947
bago aplaya,2026-08-24,1.0591943672391486
bago aplaya,2026-08-31,0.8473403613081888
bago aplaya,2026-09-07,0.7461140327262602
bago aplaya,2026-09-14,0.8428230979565962
bago aplaya,2026-09-21,1.0161865436945114
bago aplaya,2026-09-28,1.0434065279259492
bago aplaya,2026-10-05,0.8457941878487074
bago aplaya,2026-10-12,0.5912750792578936
bago aplaya,2026-10-19,0.522524970591796
bago aplaya,2026-10-26,0.6948668921599792
bago aplaya,2026-11-02,0.9165148740028527
bago aplaya,2026-11-09,0.9541269599196683
bago aplaya,2026-11-16,0.7688409443202845
bago aplaya,2026-11-23,0.5287908514172075
bago aplaya,2026-11-30,0.413039541860157
bago aplaya,2026-12-07,0.4499281365144479
bago aplaya,2026-12-14,0.557938655302385
bago aplaya,2026-12-21,0.6942497977997577
bago aplaya,2026-12-28,0.8985057151364412
bago aplaya,2027-01-04,1.180842314436648
bago aplaya,2027-01-11,1.4231733173235765
bago aplaya,2027-01-18,1.4548805348459903
bago aplaya,2027-01-25,1.237981032985889
bago aplaya,2027-02-01,0.9406283170775697
bago aplaya,2027-02-08,0.7931612876151023
bago aplaya,2027-02-15,0.872242537621535
bago aplaya,2027-02-22,1.0436744370711226
bago aplaya,2027-03-01,1.115066873392846
bago aplaya,2027-03-08,1.0225007015629943
bago aplaya,2027-03-15,0.8601485398373769
bago aplaya,2027-03-22,0.7538563683900056
bago aplaya,2027-03-29,0.7395644074381469
bago aplaya,2027-04-05,0.7644578878141358
bago aplaya,2027-04-12,0.7696750796850212
bago aplaya,2027-04-19,0.7419623047249664
bago aplaya,2027-04-26,0.6974403589497595
bago aplaya,2027-05-03,0.6531523752856307
bago aplaya,2027-05-10,0.6296403047036834
bago aplaya,2027-05-17,0.6555202454473757
bago aplaya,2027-05-24,0.7375287734471626
bago aplaya,2027-05-31,0.8298718357370666
bago aplaya,2027-06-07,0.8673626856316595
bago aplaya,2027-06-14,0.8484963709159306
bago aplaya,2027-06-21,0.8648541660491282
bago aplaya,2027-06-28,1.01311573697126
bago aplaya,2027-07-05,1.2723071499890268
bago aplaya,2027-07-12,1.496702553563519
bago aplaya,2027-07-19,1.5537599953927215
bago aplaya,2027-07-26,1.4574323812886973
bago aplaya,2027-08-02,1.3379393204261822
bago aplaya,2027-08-09,1.2808011695589352
bago aplaya,2027-08-16,1.2323431165553038
bago aplaya,2027-08-23,1.0925148389628667
bago aplaya,2027-08-30,0.8794226185640623
bago aplaya,2027-09-06,0.7470251991585638
bago aplaya,2027-09-13,0.8111878740686527
bago aplaya,2027-09-20,0.9874232529988791
bago aplaya,2027-09-27,1.053557945125608
bago aplaya,2027-10-04,0.8900625040437371
bago aplaya,2027-10-11,0.6262633393360084
bago aplaya,2027-10-18,0.5123398811329238
bago aplaya,2027-10-25,0.6501180513200782
bago aplaya,2027-11-01,0.8826863427208189
bago aplaya,2027-11-08,0.9634331762627479
bago aplaya,2027-11-15,0.8096802957696143
bago aplaya,2027-11-22,0.5635366742176243
bago aplaya,2027-11-29,0.41847579585645794
bago aplaya,2027-12-06,0.4328599522418495
bago aplaya,2027-12-13,0.5340636576920081
bago aplaya,2027-12-20,0.6639462269444228
bago aplaya,2027-12-27,0.8524793246947869
bago aplaya,2028-01-03,1.1256810653508766
bago aplaya,2028-01-10,1.3885071494363408
bago aplaya,2028-01-17,1.4666219894641528
bago gallera,2023-01-02,1.1798366823374387
bago gallera,2023-01-09,0.586838130642332
bago gallera,2023-01-16,1.0889886989975595
bago gallera,2023-01-23,1.1279126046432402
bago gallera,2023-01-30,0.9525807748501548
bago gallera,2023-02-06,0.9334254928980064
bago gallera,2023-02-13,0.9534267962656583
bago gallera,2023-02-20,0.9315539536766919
bago gallera,2023-02-27,0.9088776546617072
bago gallera,2023-03-06,0.9002808154551335
bago gallera,2023-03-13,0.8925472368675533
bago gallera,2023-03-20,0.8832413936014394
bago gallera,2023-03-27,0.8758124145030104
bago gallera,2023-04-03,0.8701357651421514
bago gallera,2023-04-10,0.8650909092714871
bago gallera,2023-04-17,0.8606618540444999
bago gallera,2023-04-24,0.8569695070691072
bago gallera,2023-05-01,0.8538539655994716
bago gallera,2023-05-08,0.851180551308735
bago gallera,2023-05-15,0.8489029553833015
bago gallera,2023-05-22,0.8469719824585916
bago gallera,2023-05-29,0.8453293610402828
