Barangay_key,train_weeks,nonzero_weeks,total_cases,eligible_local,eligibility_reason,run_id
paradise embak,446,28,38.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
rafael castillo,446,172,260.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
riverside,446,91,129.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
salapawan,446,8,8.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
salaysay,446,61,70.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
saloy,446,16,26.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
san antonio,446,151,218.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
san isidro,446,34,36.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
santo nino,446,230,426.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
sasa,446,367,1128.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
sibulan,446,32,45.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
sirawan,446,147,219.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
sirib,446,77,132.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
suawan,446,52,63.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
subasta,446,51,75.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
sumimao,446,17,25.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
tacunan,446,261,535.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
tagakpan,446,87,118.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
tagluno,446,12,12.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
tagurano,446,35,38.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
talandang,446,40,50.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
talomo,446,416,2018.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
talomo river,446,110,177.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
tamayong,446,90,117.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
tambobong,446,66,83.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
tamugan,446,136,194.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
tapak,446,6,6.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
tawan tawan,446,81,121.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
tibuloy,446,58,73.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
tibungco,446,307,832.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
tigatto,446,274,600.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
toril,446,270,658.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
tugbok,446,180,327.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
tungakalan,446,39,57.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
ubalde,446,80,91.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
ula,446,79,103.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
vicente hizon sr,446,62,83.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
waan,446,59,76.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
wangan,446,84,120.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
wilfredo aquino,446,151,215.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
wines,446,70,100.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
