Barangay_key,RMSE,MAE,sMAPE,RMSE_rank,MAE_rank,sMAPE_rank,CompositeScore
barangay 2 a,0.5521136001351572,0.41664996502064366,1.797143919922527,115.0,108.0,92.0,105.0
barangay 20 b,0.5738087231596353,0.3791293171539988,1.932750431868678,114.0,117.0,52.0,94.33333333333333
barangay 21 c,0.918099103039878,0.6313211844657146,1.6450826385448587,60.0,76.0,112.0,82.66666666666667
barangay 22 c,0.8298211853939109,0.6382848278828822,1.6973946541969374,75.0,75.0,107.0,85.66666666666667
barangay 23 c,0.9484181954365275,0.743407845616704,1.3072350869542133,58.0,59.0,141.0,86.0
barangay 24 c,0.43868359169047705,0.2185547815488006,1.9623946694940233,135.0,148.0,36.0,106.33333333333333
barangay 25 c,0.20048203335181156,0.12108489934572185,1.9882097341713103,176.0,171.0,9.0,118.66666666666667
barangay 26 c,0.20639615253660196,0.1411763268724226,1.9846088316628065,174.0,167.0,16.0,119.0
barangay 27 c,0.35339065545507636,0.3188335664750225,1.900993105182088,148.0,129.0,65.0,114.0
barangay 28 c,0.4231570212031501,0.209149717775292,1.9758128509212818,139.0,152.0,27.0,106.0
barangay 29 c,0.2360591889211582,0.07746962126865384,1.9951523042749402,166.0,180.0,3.0,116.33333333333333
barangay 3 a,0.43576139248862716,0.09768132555257367,1.9979987012896698,138.0,177.0,2.0,105.66666666666667
barangay 30 c,0.20012044275581456,0.1209400452576282,1.9879585428064088,177.0,172.0,10.0,119.66666666666667
barangay 31 d,0.82055091966352,0.6730736120638615,1.450038402476115,76.0,68.0,131.0,91.66666666666667
barangay 32 d,0.23926780469326916,0.2027904730489327,1.9767544997032107,165.0,155.0,26.0,115.33333333333333
barangay 33 d,0.4436117853708362,0.3493326546494424,1.866365734407336,132.0,122.0,74.0,109.33333333333333
barangay 34 d,0.44655074978801235,0.27994765559864393,1.9537310344186618,130.0,135.0,42.0,102.33333333333333
barangay 35 d,0.19273114311556502,0.09933690094559364,1.9890815868148206,180.0,176.0,8.0,121.33333333333333
barangay 36 d,0.45024519969735066,0.15461249614314537,1.9876510226425366,129.0,166.0,12.0,102.33333333333333
barangay 37 d,0.8563553897705218,0.6732803301876901,1.4382512895042905,68.0,67.0,132.0,89.0
barangay 38 d,0.22783604013826475,0.182810984795071,1.9801176908946105,171.0,160.0,21.0,117.33333333333333
barangay 39 d,0.6671369311479253,0.45639026360214174,1.8067161030987395,96.0,100.0,88.0,94.66666666666667
barangay 4 a,0.5412452132763838,0.3346317042080623,1.9456926611638505,119.0,125.0,50.0,98.0
barangay 40 d,0.746924659768717,0.45467500275883244,1.8780116994795093,83.0,101.0,72.0,85.33333333333333
barangay 5 a,1.718323698343701,1.299331341681659,1.3919293356955806,24.0,28.0,136.0,62.666666666666664
barangay 6 a,0.4554599238178611,0.32259337514031555,1.927431373867297,128.0,128.0,53.0,103.0
barangay 7 a,0.7347127485456227,0.5809719148357761,1.709998465754213,86.0,84.0,104.0,91.33333333333333
barangay 8 a,0.8819488328222298,0.7623291494865735,1.4015052029840616,65.0,56.0,135.0,85.33333333333333
barangay 9 a,1.0314828453459697,0.7318076227710725,1.4757990437447832,53.0,62.0,128.0,81.0
bato,1.0275577400373592,0.8460669782253158,1.2318832553691965,54.0,48.0,145.0,82.33333333333333
bayabas,0.5180141041420611,0.3694862698929636,1.845017211448843,122.0,119.0,81.0,107.33333333333333
biao escuela,0.6568642755995628,0.503189720591206,1.8595547836505715,99.0,94.0,77.0,90.0
biao guianga,0.5066983020555493,0.44224253214814496,1.86378881797455,123.0,103.0,76.0,100.66666666666667
biao joaquin,0.9070134775796128,0.7181033315024875,1.722724334840662,61.0,64.0,101.0,75.33333333333333
binugao,0.9819582745196631,0.7398163106841195,1.45901539034571,56.0,61.0,130.0,82.33333333333333
bucana,4.656947054287701,3.434882171226962,0.6101929792165005,3.0,3.0,181.0,62.333333333333336
buda,0.29665647172373805,0.28195367332763105,1.9640717814320405,155.0,134.0,35.0,108.0
buhangin,4.288581714531211,3.240156328802441,0.5924458164564161,4.0,4.0,182.0,63.333333333333336
bunawan,2.0558895682130913,1.6810354548693551,0.8143331688085798,17.0,17.0,173.0,69.0
cabantian,2.300779799428149,1.9686425743210187,0.8450720262722886,13.0,12.0,170.0,65.0
cadalian,0.8379199985993895,0.6149903005140552,1.6863096172416343,73.0,79.0,109.0,87.0
calinan,5.185025288696184,3.7578410166079883,0.834582397099498,1.0,1.0,171.0,57.666666666666664
