barangay,month,weight,cases_in_window,window_start,window_end,alpha_smooth,scheme,run_id
matina pangi,,0.008455718736092568,56.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
megkawayan,,0.0007417297136923305,4.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
mintal,,0.017504821243139,117.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
mudiang,,0.001483459427384661,9.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
mulig,,0.0053404539385847796,35.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
new carmen,,0.0010384215991692627,6.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
new valencia,,0.0008900756564307966,5.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
pampanga,,0.005785491766800178,38.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
panacan,,0.020768431983385256,139.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
panalum,,0.0010384215991692627,6.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
pandaitan,,0.001631805370123127,10.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
pangyan,,0.0017801513128615932,11.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
paquibato,,0.0013351134846461949,8.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
paradise embak,,0.0010384215991692627,6.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
rafael castillo,,0.0034119566829847203,22.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
riverside,,0.004747070167630915,31.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
salapawan,,0.0001483459427384661,0.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
salaysay,,0.0019284972556000593,12.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
saloy,,0.0022251891410769915,14.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
san antonio,,0.0035603026257231864,23.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
san isidro,,0.0008900756564307966,5.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
