run_id,view_mode,queue_type,weeks_to_sum,baseline_weeks,epsilon,ranking_formula_version,model_name,rank,barangay,actual_cases_past_W,past_8w_avg,baseline_expected_W,forecast_cases_next_W,surge_ratio,surge_eligible,rank_reason
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,85,wilfredo aquino,1.0,0.125,0.5,2.246038987653777,1.497359325102518,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,86,wines,1.0,0.375,1.5,5.284797618008886,2.1139190472035545,True,High recent observed burden (past W: 1.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,87,alambre,0.0,0.125,0.5,0.792719642701333,0.5284797618008886,False,High recent observed burden (past W: 0.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,88,alfonso angliongto sr,0.0,0.125,0.5,6.473877082060886,4.315918054707257,True,High recent observed burden (past W: 0.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,89,angalan,0.0,0.25,1.0,3.4351184517057765,1.7175592258528882,True,High recent observed burden (past W: 0.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,90,atan awe,0.0,0.0,0.0,1.0569595236017775,1.0569595236017775,False,High recent observed burden (past W: 0.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,91,baganihan,0.0,0.0,0.0,1.4533193449524435,1.4533193449524435,False,High recent observed burden (past W: 0.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,92,bago aplaya,0.0,0.125,0.5,10.569595236017772,7.046396824011848,True,High recent observed burden (past W: 0.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,93,bago oshiro,0.0,0.0,0.0,3.831478273056443,3.831478273056443,True,High recent observed burden (past W: 0.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,94,balengaeng,0.0,0.0,0.0,0.9248395831515551,0.9248395831515551,False,High recent observed burden (past W: 0.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,95,bangkas heights,0.0,0.0,0.0,5.152677677558665,5.152677677558665,True,High recent observed burden (past W: 0.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,96,bantol,0.0,0.0,0.0,0.3963598213506665,0.3963598213506665,False,High recent observed burden (past W: 0.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,97,baracatan,0.0,0.0,0.0,1.4533193449524435,1.4533193449524435,False,High recent observed burden (past W: 0.00)
fcc6965d-6047-40ee-b3ef-35556bc1df59,observed,respond_now,4,8,1.0,v1_action_priority_observed_cases__forecast_surge,preferred,98,barangay 1 a,0.0,0.0,0.0,1.9817991067533325,1.9817991067533325,False,High recent observed burden (past W: 0.00)
